CO,Vict num,Tot vic,Tot susp,V sex,V race,V age,Crm Stat,VO_1,VO_2,VO_3,VO_4,Inc MO,Inc day,Inc YR,Week day,Death YR,Means of Death,Loc,PE,Spec Circ
7,1.0,1.0,1.0,1.0,A,22,1,22,,,,12,14,2016,4.0,2016.0,15,06,99,0.0
7,1.0,1.0,1.0,2.0,O,23,1,2,,,,5,29,2016,1.0,2016.0,11,02,26,10.0
7,1.0,1.0,1.0,2.0,W,54,1,2,,,,2,22,2016,2.0,2016.0,4,02,99,999.0
10,1.0,1.0,1.0,2.0,A,22,1,23,,,,3,8,2016,3.0,2016.0,6,02,62,0.0
10,1.0,1.0,1.0,1.0,H,78,1,1,,,,5,19,2016,5.0,2016.0,7,24,45,0.0
10,1.0,1.0,1.0,2.0,H,36,1,2,,,,10,19,2016,4.0,2016.0,2,24,45,0.0
10,1.0,1.0,1.0,2.0,H,22,1,23,,,,11,6,2016,1.0,2016.0,6,24,62,0.0
10,1.0,1.0,1.0,2.0,H,50,1,2,,,,11,29,2016,3.0,2016.0,6,02,62,0.0
13,1.0,1.0,1.0,2.0,W,39,1,23,,,,4,29,2016,6.0,2016.0,3,16,45,0.0
14,1.0,1.0,1.0,2.0,W,62,1,2,,,,7,5,2016,3.0,2016.0,2,03,62,10.0
15,1.0,1.0,1.0,2.0,H,30,1,23,,,,12,10,2016,7.0,2016.0,11,16,62,140.0
15,1.0,1.0,1.0,2.0,H,41,1,2,,,,7,18,2016,2.0,2016.0,25,13,40,999.0
16,1.0,1.0,1.0,2.0,W,48,1,23,,,,1,26,2016,3.0,2016.0,6,03,62,0.0
16,2.0,2.0,1.0,2.0,H,34,1,25,,,,11,14,2016,2.0,2016.0,2,02,99,0.0
19,1.0,1.0,1.0,2.0,W,71,1,2,,,,4,8,2016,6.0,2016.0,4,24,62,0.0
19,1.0,1.0,1.0,1.0,H,50,1,22,,,,5,8,2016,1.0,2016.0,15,06,62,0.0
19,1.0,1.0,1.0,2.0,H,44,1,2,,,,4,20,2016,4.0,2016.0,2,99,45,0.0
